idade,educacao,status_civil,ocupacao
39,Bachelors,Nunca_casou,Adm-clerical
50,Bachelors,Casado(a) - Cônjuge Civil,Exec-managerial
38,HS-grad,Divorciado(a),Handlers-cleaners
53,11th,Casado(a) - Cônjuge Civil,Handlers-cleaners
28,Bachelors,Casado(a) - Cônjuge Civil,Prof-specialty
37,Masters,Casado(a) - Cônjuge Civil,Exec-managerial
49,9th,Casado(a) - Cônjuge Ausente,Other-service
52,HS-grad,Casado(a) - Cônjuge Civil,Exec-managerial
31,Masters,Nunca_casou,Prof-specialty
42,Bachelors,Casado(a) - Cônjuge Civil,Exec-managerial
37,Some-college,Casado(a) - Cônjuge Civil,Exec-managerial
